team,nom,position,blessure,date,sport
Arizona,Jon Gaines II,OG,Knee,"Wed, May 1",nfl
Arizona,Garrett Williams,CB,Ankle,"Wed, May 1",nfl
Arizona,Dante Stills,DT,Knee,"Wed, May 1",nfl
Arizona,L.J. Collier,DE,Biceps,"Wed, May 1",nfl
Arizona,Kyzir White,OLB,Biceps,"Wed, May 1",nfl
Atlanta,Josh Ali,WR,Ankle,"Wed, May 1",nfl
Atlanta,Drew Dalman,C,Ankle,"Wed, May 1",nfl
Atlanta,Troy Andersen,LB,Pectoral,"Wed, May 1",nfl
Atlanta,Zach Harrison,DE,Knee,"Wed, May 1",nfl
Atlanta,DeMarcco Hellams,SAF,Concussion,"Wed, May 1",nfl
Atlanta,Kentavius Street,DE,Pectoral,"Wed, May 1",nfl
Atlanta,Kaden Elliss,LB,Knee,"Wed, May 1",nfl
Atlanta,Avery Williams,RB,Knee - ACL,"Wed, May 1",nfl
Atlanta,Adetokunbo Ogundeji,LB,Foot,"Wed, May 1",nfl
Atlanta,Kirk Cousins,QB,Achilles,"Tue, Apr 2",nfl
Atlanta,Grady Jarrett,DT,Knee - ACL,"Mon, Feb 12",nfl
Baltimore,Nick Samac,C,Lower Leg,"Fri, May 3",nfl
Baltimore,Odafe Oweh,LB,Thumb,"Wed, May 1",nfl
Baltimore,Jalyn Armour-Davis,CB,Concussion,"Wed, May 1",nfl
Baltimore,Tylan Wallace,WR,Knee,"Wed, May 1",nfl
Baltimore,Damarion Williams,CB,Undisclosed,"Wed, May 1",nfl
Baltimore,Malik Hamm,LB,Ankle,"Wed, May 1",nfl
Baltimore,Andrew Vorhees,OG,Knee - ACL,"Wed, May 1",nfl
Baltimore,Keaton Mitchell,RB,Knee - ACL,"Mon, Feb 12",nfl
Baltimore,David Ojabo,LB,Knee - ACL,"Mon, Feb 12",nfl
Buffalo,Zach Davidson,TE,Undisclosed,"Wed, May 1",nfl
Buffalo,Justin Shorter,WR,Hamstring,"Wed, May 1",nfl
Buffalo,Christian Benford,CB,Knee,"Wed, May 1",nfl
Buffalo,Matt Milano,OLB,Leg,"Wed, May 1",nfl
Buffalo,Baylon Spector,LB,Back,"Wed, May 1",nfl
Buffalo,Tommy Doyle,OT,Knee,"Wed, May 1",nfl
Carolina,Luiji Vilain,LB,Knee,"Wed, May 1",nfl
Carolina,Claudin Cherelus,LB,Knee,"Wed, May 1",nfl
Carolina,Cade Mays,OG,Finger,"Wed, May 1",nfl
Carolina,Brady Christensen,OG,Biceps,"Wed, May 1",nfl
Carolina,Amare Barno,LB,Knee,"Wed, May 1",nfl
Carolina,Chandler Zavala,OG,Knee,"Wed, May 1",nfl
Carolina,Eddy Pineiro,K,Hamstring,"Wed, May 1",nfl
Carolina,D.J. Wonnum,LB,Quadriceps,"Wed, May 1",nfl
Carolina,Chandler Wooten,LB,Ankle,"Wed, May 1",nfl
Carolina,Dicaprio Bootle,CB,Knee,"Wed, May 1",nfl
Chicago,Gerald Everett,TE,Knee,"Fri, May 3",nfl
Chicago,Terell Smith,CB,Quadriceps,"Wed, May 1",nfl
Chicago,Cole Kmet,TE,Forearm,"Wed, May 1",nfl
Chicago,Nate Davis,OG,Foot,"Wed, May 1",nfl
Cincinnati,Devonnsha Maxwell,DL,Knee,"Wed, May 1",nfl
Cincinnati,Tycen Anderson,SAF,Knee,"Wed, May 1",nfl
Cincinnati,Joe Burrow,QB,Wrist,"Wed, May 1",nfl
Cincinnati,Devin Cochran,OT,Knee,"Wed, May 1",nfl
