team,name,sport,blessure,position,date
Atlanta Hawks,Saddiq Bey,basketball_nba,Knee,SF,2024-03-11
Boston Celtics,Kristaps Porzingis,basketball_nba,Soleus,PF,2024-04-30
Brooklyn Nets,Keita Bates-Diop,basketball_nba,Shin,SF,2024-03-24
Brooklyn Nets,Ben Simmons,basketball_nba,Back,PG,2024-02-29
Brooklyn Nets,Dariq Whitehead,basketball_nba,Shin,SF,2024-01-15
Charlotte Hornets,LaMelo Ball,basketball_nba,Ankle,PG,2024-01-28
Charlotte Hornets,Mark Williams,basketball_nba,Back,C,2023-12-10
Chicago Bulls,Onuralp Bitim,basketball_nba,Eye,SG,2024-04-16
Chicago Bulls,Patrick Williams,basketball_nba,Foot,PF,2024-01-27
Chicago Bulls,Zach LaVine,basketball_nba,Ankle,SG,2024-01-19
Chicago Bulls,Lonzo Ball,basketball_nba,Knee,PG,2022-01-15
Cleveland Cavaliers,Jarrett Allen,basketball_nba,Rib,C,2024-04-30
Cleveland Cavaliers,Craig Porter Jr.,basketball_nba,Ankle,PG,2024-04-20
Cleveland Cavaliers,Dean Wade,basketball_nba,Knee,PF,2024-03-11
Cleveland Cavaliers,Ty Jerome,basketball_nba,Ankle,SG,2023-10-30
Dallas Mavericks,Maxi Kleber,basketball_nba,Shoulder,PF,2024-05-04
Dallas Mavericks,Olivier-Maxence Prosper,basketball_nba,Ankle,PF,2024-04-25
Denver Nuggets,Vlatko Cancar,basketball_nba,Knee,PF,2023-08-05
Detroit Pistons,Stanley Umude,basketball_nba,Ankle,SG,2024-03-21
Detroit Pistons,Isaiah Stewart,basketball_nba,Hamstring,C,2024-03-20
Detroit Pistons,Quentin Grimes,basketball_nba,Knee,SG,2024-03-14
Detroit Pistons,Ausar Thompson,basketball_nba,Illness,SF,2024-03-11
Houston Rockets,Alperen Sengun,basketball_nba,Ankle,C,2024-03-11
Houston Rockets,Tari Eason,basketball_nba,Leg,SF,2024-01-02
Houston Rockets,Steven Adams,basketball_nba,Knee,C,2023-10-22
Indiana Pacers,Bennedict Mathurin,basketball_nba,Shoulder,SG,2024-03-06
Memphis Grizzlies,Ja Morant,basketball_nba,Shoulder,PG,2024-01-06
Miami Heat,Josh Richardson,basketball_nba,Shoulder,SG,2024-02-11
Milwaukee Bucks,Thanasis Antetokounmpo,basketball_nba,Achilles,SF,2024-05-08
Minnesota Timberwolves,Rudy Gobert,basketball_nba,Personal,C,2024-05-06
Minnesota Timberwolves,Jaylen Clark,basketball_nba,Achilles,SG,2023-08-18
New Orleans Pelicans,Zion Williamson,basketball_nba,Hamstring,PF,2024-04-17
New York Knicks,OG Anunoby,basketball_nba,Hamstring,SF,2024-05-08
New York Knicks,Mitchell Robinson,basketball_nba,Ankle,C,2024-05-07
New York Knicks,Bojan Bogdanovic,basketball_nba,Foot,SF,2024-04-28
New York Knicks,Julius Randle,basketball_nba,Shoulder,PF,2024-01-27
Philadelphia 76ers,Robert Covington,basketball_nba,Knee,SF,2024-01-02
Portland Trail Blazers,Toumani Camara,basketball_nba,Rib,PF,2024-03-28
Portland Trail Blazers,Robert Williams III,basketball_nba,Knee,C,2023-11-05
Sacramento Kings,Kevin Huerter,basketball_nba,Shoulder,SG,2024-03-20
San Antonio Spurs,Devin Vassell,basketball_nba,Foot,SG,2024-03-31
San Antonio Spurs,Jeremy Sochan,basketball_nba,Ankle,PF,2024-03-30
San Antonio Spurs,Charles Bassey,basketball_nba,Knee,C,2023-12-11
Washington Wizards,Bilal Coulibaly,basketball_nba,Wrist,SF,2024-03-17
