team,name,sport,blessure,position,date
Arizona,J. Gaines II,nfl,Knee,OG,"Wed, May 1"
Arizona,G. Williams,nfl,Ankle,CB,"Wed, May 1"
Arizona,D. Stills,nfl,Knee,DT,"Wed, May 1"
Arizona,L. Collier,nfl,Biceps,DE,"Wed, May 1"
Arizona,K. White,nfl,Biceps,OLB,"Wed, May 1"
Atlanta,J. Ali,nfl,Ankle,WR,"Wed, May 1"
Atlanta,T. Andersen,nfl,Pectoral,LB,"Wed, May 1"
Atlanta,D. Dalman,nfl,Ankle,C,"Wed, May 1"
Atlanta,D. Hellams,nfl,Concussion,SAF,"Wed, May 1"
Atlanta,Z. Harrison,nfl,Knee,DE,"Wed, May 1"
Atlanta,K. Street,nfl,Pectoral,DE,"Wed, May 1"
Atlanta,K. Elliss,nfl,Knee,LB,"Wed, May 1"
Atlanta,A. Williams,nfl,Knee - ACL,RB,"Wed, May 1"
Atlanta,A. Ogundeji,nfl,Foot,LB,"Wed, May 1"
Atlanta,K. Cousins,nfl,Achilles,QB,"Tue, Apr 2"
Atlanta,G. Jarrett,nfl,Knee - ACL,DT,"Mon, Feb 12"
Baltimore,N. Samac,nfl,Lower Leg,C,"Sat, May 11"
Baltimore,O. Oweh,nfl,Thumb,LB,"Wed, May 1"
Baltimore,D. Williams,nfl,Undisclosed,CB,"Wed, May 1"
Baltimore,M. Hamm,nfl,Ankle,LB,"Wed, May 1"
Baltimore,K. Mitchell,nfl,Knee - ACL,RB,"Mon, Feb 12"
Baltimore,D. Ojabo,nfl,Knee - ACL,LB,"Mon, Feb 12"
Buffalo,M. Milano,nfl,Leg,OLB,"Wed, May 1"
Buffalo,T. Doyle,nfl,Knee,OT,"Wed, May 1"
Carolina,S. Brown,nfl,Undisclosed,RB,"Fri, May 10"
Carolina,A. Parker,nfl,Undisclosed,CB,"Fri, May 10"
Carolina,I. Manning,nfl,Undisclosed,OT,"Fri, May 10"
Carolina,R. Williams,nfl,Undisclosed,DT,"Fri, May 10"
Carolina,C. Cherelus,nfl,Knee,LB,"Wed, May 1"
Carolina,L. Vilain,nfl,Knee,LB,"Wed, May 1"
Carolina,C. Mays,nfl,Finger,OG,"Wed, May 1"
Carolina,B. Christensen,nfl,Biceps,OG,"Wed, May 1"
Carolina,A. Barno,nfl,Knee,LB,"Wed, May 1"
Carolina,C. Zavala,nfl,Knee,OG,"Wed, May 1"
Carolina,E. Pineiro,nfl,Hamstring,K,"Wed, May 1"
Carolina,D. Bootle,nfl,Knee,CB,"Wed, May 1"
Carolina,D. Wonnum,nfl,Quadriceps,LB,"Wed, May 1"
Carolina,C. Wooten,nfl,Ankle,LB,"Wed, May 1"
Chicago,K. Amegadjie,nfl,Quadriceps,OT,"Fri, May 10"
Chicago,G. Everett,nfl,Knee,TE,"Fri, May 3"
Chicago,C. Kmet,nfl,Forearm,TE,"Wed, May 1"
Chicago,T. Smith,nfl,Quadriceps,CB,"Wed, May 1"
Chicago,N. Davis,nfl,Foot,OG,"Wed, May 1"
Cincinnati,J. Burrow,nfl,Wrist,QB,"Fri, May 10"
Cincinnati,T. Anderson,nfl,Knee,SAF,"Wed, May 1"
