team,name,sport,blessure,position,date,position_complet
Atlanta Hawks,Saddiq Bey,basketball_nba,Knee,SF,2024-03-11,small forward
Boston Celtics,Kristaps Porzingis,basketball_nba,Soleus,PF,2024-04-30,power forward
Brooklyn Nets,Keita Bates-Diop,basketball_nba,Shin,SF,2024-03-24,small forward
Brooklyn Nets,Ben Simmons,basketball_nba,Back,PG,2024-02-29,point guard
Brooklyn Nets,Dariq Whitehead,basketball_nba,Shin,SF,2024-01-15,small forward
Charlotte Hornets,LaMelo Ball,basketball_nba,Ankle,PG,2024-01-28,point guard
Charlotte Hornets,Mark Williams,basketball_nba,Back,C,2023-12-10,center
Chicago Bulls,Onuralp Bitim,basketball_nba,Eye,SG,2024-04-16,shooting guard
Chicago Bulls,Patrick Williams,basketball_nba,Foot,PF,2024-01-27,power forward
Chicago Bulls,Zach LaVine,basketball_nba,Ankle,SG,2024-01-19,shooting guard
Chicago Bulls,Lonzo Ball,basketball_nba,Knee,PG,2022-01-15,point guard
Cleveland Cavaliers,Jarrett Allen,basketball_nba,Rib,C,2024-04-30,center
Cleveland Cavaliers,Craig Porter Jr.,basketball_nba,Ankle,PG,2024-04-20,point guard
Cleveland Cavaliers,Dean Wade,basketball_nba,Knee,PF,2024-03-11,power forward
Cleveland Cavaliers,Ty Jerome,basketball_nba,Ankle,SG,2023-10-30,shooting guard
Dallas Mavericks,Maxi Kleber,basketball_nba,Shoulder,PF,2024-05-04,power forward
Dallas Mavericks,Olivier-Maxence Prosper,basketball_nba,Ankle,PF,2024-04-25,power forward
Denver Nuggets,Vlatko Cancar,basketball_nba,Knee,PF,2023-08-05,power forward
Detroit Pistons,Stanley Umude,basketball_nba,Ankle,SG,2024-03-21,shooting guard
Detroit Pistons,Isaiah Stewart,basketball_nba,Hamstring,C,2024-03-20,center
Detroit Pistons,Quentin Grimes,basketball_nba,Knee,SG,2024-03-14,shooting guard
Detroit Pistons,Ausar Thompson,basketball_nba,Illness,SF,2024-03-11,small forward
Houston Rockets,Alperen Sengun,basketball_nba,Ankle,C,2024-03-11,center
Houston Rockets,Tari Eason,basketball_nba,Leg,SF,2024-01-02,small forward
Houston Rockets,Steven Adams,basketball_nba,Knee,C,2023-10-22,center
Indiana Pacers,Bennedict Mathurin,basketball_nba,Shoulder,SG,2024-03-06,shooting guard
Memphis Grizzlies,Ja Morant,basketball_nba,Shoulder,PG,2024-01-06,point guard
Miami Heat,Josh Richardson,basketball_nba,Shoulder,SG,2024-02-11,shooting guard
Milwaukee Bucks,Thanasis Antetokounmpo,basketball_nba,Achilles,SF,2024-05-08,small forward
Minnesota Timberwolves,Rudy Gobert,basketball_nba,Personal,C,2024-05-06,center
Minnesota Timberwolves,Jaylen Clark,basketball_nba,Achilles,SG,2023-08-18,shooting guard
New Orleans Pelicans,Zion Williamson,basketball_nba,Hamstring,PF,2024-04-17,power forward
New York Knicks,OG Anunoby,basketball_nba,Hamstring,SF,2024-05-08,small forward
New York Knicks,Mitchell Robinson,basketball_nba,Ankle,C,2024-05-07,center
New York Knicks,Bojan Bogdanovic,basketball_nba,Foot,SF,2024-04-28,small forward
New York Knicks,Julius Randle,basketball_nba,Shoulder,PF,2024-01-27,power forward
Philadelphia 76ers,Robert Covington,basketball_nba,Knee,SF,2024-01-02,small forward
Portland Trail Blazers,Toumani Camara,basketball_nba,Rib,PF,2024-03-28,power forward
Portland Trail Blazers,Robert Williams III,basketball_nba,Knee,C,2023-11-05,center
Sacramento Kings,Kevin Huerter,basketball_nba,Shoulder,SG,2024-03-20,shooting guard
San Antonio Spurs,Devin Vassell,basketball_nba,Foot,SG,2024-03-31,shooting guard
San Antonio Spurs,Jeremy Sochan,basketball_nba,Ankle,PF,2024-03-30,power forward
San Antonio Spurs,Charles Bassey,basketball_nba,Knee,C,2023-12-11,center
Washington Wizards,Bilal Coulibaly,basketball_nba,Wrist,SF,2024-03-17,small forward
