team,name,sport,blessure,position,date,position_complet
Arizona,J. Gaines II,nfl,Knee,OG,2024-05-01,Offensive Guard
Arizona,G. Williams,nfl,Ankle,CB,2024-05-01,Cornerback
Arizona,D. Stills,nfl,Knee,DT,2024-05-01,Defensive Tackle
Arizona,L. Collier,nfl,Biceps,DE,2024-05-01,Defensive End
Arizona,K. White,nfl,Biceps,OLB,2024-05-01,Outside Linebacker
Atlanta,J. Ali,nfl,Ankle,WR,2024-05-01,Wide Receiver
Atlanta,T. Andersen,nfl,Pectoral,LB,2024-05-01,Linebacker
Atlanta,D. Dalman,nfl,Ankle,C,2024-05-01,Center
Atlanta,D. Hellams,nfl,Concussion,SAF,2024-05-01,Safety
Atlanta,Z. Harrison,nfl,Knee,DE,2024-05-01,Defensive End
Atlanta,K. Street,nfl,Pectoral,DE,2024-05-01,Defensive End
Atlanta,K. Elliss,nfl,Knee,LB,2024-05-01,Linebacker
Atlanta,A. Williams,nfl,Knee - ACL,RB,2024-05-01,Running Back
Atlanta,A. Ogundeji,nfl,Foot,LB,2024-05-01,Linebacker
Atlanta,K. Cousins,nfl,Achilles,QB,2024-04-02,Quarterback
Atlanta,G. Jarrett,nfl,Knee - ACL,DT,2024-02-12,Defensive Tackle
Baltimore,N. Samac,nfl,Lower Leg,C,2024-05-11,Center
Baltimore,O. Oweh,nfl,Thumb,LB,2024-05-01,Linebacker
Baltimore,D. Williams,nfl,Undisclosed,CB,2024-05-01,Cornerback
Baltimore,M. Hamm,nfl,Ankle,LB,2024-05-01,Linebacker
Baltimore,K. Mitchell,nfl,Knee - ACL,RB,2024-02-12,Running Back
Baltimore,D. Ojabo,nfl,Knee - ACL,LB,2024-02-12,Linebacker
Buffalo,M. Milano,nfl,Leg,OLB,2024-05-01,Outside Linebacker
Buffalo,T. Doyle,nfl,Knee,OT,2024-05-01,Offensive Tackle
Carolina,S. Brown,nfl,Undisclosed,RB,2024-05-10,Running Back
Carolina,A. Parker,nfl,Undisclosed,CB,2024-05-10,Cornerback
Carolina,I. Manning,nfl,Undisclosed,OT,2024-05-10,Offensive Tackle
Carolina,R. Williams,nfl,Undisclosed,DT,2024-05-10,Defensive Tackle
Carolina,C. Cherelus,nfl,Knee,LB,2024-05-01,Linebacker
Carolina,L. Vilain,nfl,Knee,LB,2024-05-01,Linebacker
Carolina,C. Mays,nfl,Finger,OG,2024-05-01,Offensive Guard
Carolina,B. Christensen,nfl,Biceps,OG,2024-05-01,Offensive Guard
Carolina,A. Barno,nfl,Knee,LB,2024-05-01,Linebacker
Carolina,C. Zavala,nfl,Knee,OG,2024-05-01,Offensive Guard
Carolina,E. Pineiro,nfl,Hamstring,K,2024-05-01,Kicker
Carolina,D. Bootle,nfl,Knee,CB,2024-05-01,Cornerback
Carolina,D. Wonnum,nfl,Quadriceps,LB,2024-05-01,Linebacker
Carolina,C. Wooten,nfl,Ankle,LB,2024-05-01,Linebacker
Chicago,K. Amegadjie,nfl,Quadriceps,OT,2024-05-10,Offensive Tackle
Chicago,G. Everett,nfl,Knee,TE,2024-05-03,Tight End
Chicago,C. Kmet,nfl,Forearm,TE,2024-05-01,Tight End
Chicago,T. Smith,nfl,Quadriceps,CB,2024-05-01,Cornerback
Chicago,N. Davis,nfl,Foot,OG,2024-05-01,Offensive Guard
Cincinnati,J. Burrow,nfl,Wrist,QB,2024-05-10,Quarterback
Cincinnati,T. Anderson,nfl,Knee,SAF,2024-05-01,Safety
Cincinnati,D. Maxwell,nfl,Knee,DL,2024-05-01,Defensive Lineman
Cincinnati,D. Cochran,nfl,Knee,OT,2024-05-01,Offensive Tackle
Cincinnati,S. Hubbard,nfl,Ankle,DE,2024-04-22,Defensive End
Cincinnati,D. Ivey,nfl,Knee - ACL,CB,2024-02-12,Cornerback
Cleveland,R. McLeod,nfl,Biceps,FS,2024-05-10,Free Safety
Cleveland,P. Strong Jr.,nfl,Back,RB,2024-05-01,Running Back
Cleveland,J. Wills,nfl,Knee - MCL,OT,2024-05-01,Offensive Tackle
Cleveland,D. Jones,nfl,Knee - MCL,OT,2024-05-01,Offensive Tackle
Cleveland,D. Thompson-Robinson,nfl,Hip,QB,2024-05-01,Quarterback
Cleveland,M. Woods II,nfl,Achilles,WR,2024-05-01,Wide Receiver
Cleveland,D. Watson,nfl,Shoulder,QB,2024-05-01,Quarterback
Cleveland,D. Hopkins,nfl,Hamstring,K,2024-05-01,Kicker
Cleveland,J. Bitonio,nfl,Ankle,OG,2024-05-01,Offensive Guard
Cleveland,G. Delpit,nfl,Groin,SAF,2024-05-01,Safety
Cleveland,Q. Jefferson,nfl,Groin,DE,2024-04-15,Defensive End
Cleveland,N. Hines,nfl,Knee - ACL,RB,2024-03-03,Running Back
Cleveland,J. Conklin,nfl,Knee - ACL + MCL,OT,2024-02-12,Offensive Tackle
Cleveland,N. Chubb,nfl,Knee - ACL + MCL,RB,2024-02-12,Running Back
Dallas,P. Hendershot,nfl,Ankle,TE,2024-05-01,Tight End
Dallas,T. Bass,nfl,Elbow,OT,2024-05-01,Offensive Tackle
Dallas,D. Vaughn,nfl,Ankle,RB,2024-05-01,Running Back
Dallas,C. Goodwin,nfl,Pectoral,DB,2024-05-01,Defensive Back
Dallas,S. McKeon,nfl,Ankle,TE,2024-05-01,Tight End
Dallas,J. Ball,nfl,Hip,OT,2024-05-01,Offensive Tackle
Dallas,M. Smith,nfl,Shoulder,DT,2024-04-17,Defensive Tackle
Dallas,L. Schoonmaker,nfl,Shoulder,TE,2024-04-17,Tight End
Dallas,T. Diggs,nfl,Knee - ACL,CB,2024-02-12,Cornerback
Dallas,"J. Stephens, Jr.",nfl,Knee - ACL,TE,2024-02-12,Tight End
